timestamp,symbol,price,volume,change,change_percent,date,hour,minute
2025-12-07 13:17:31.475304,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,17
2025-12-07 13:17:31.785272,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,17
2025-12-07 13:17:32.092524,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,17
2025-12-07 13:17:32.397231,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,17
2025-12-07 13:17:32.706132,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,17
2025-12-07 13:18:33.021774,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,18
2025-12-07 13:18:33.328383,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,18
2025-12-07 13:18:33.633454,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,18
2025-12-07 13:18:33.940627,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,18
2025-12-07 13:18:34.247489,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,18
2025-12-07 13:19:34.631023,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,19
2025-12-07 13:19:34.869563,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,19
2025-12-07 13:19:35.178073,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,19
2025-12-07 13:19:35.413084,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,19
2025-12-07 13:19:35.641404,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,19
2025-12-07 13:20:35.903057,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,20
2025-12-07 13:20:36.209958,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,20
2025-12-07 13:20:36.515533,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,20
2025-12-07 13:20:36.824732,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,20
2025-12-07 13:20:37.059866,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,20
2025-12-07 13:21:37.344023,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,21
2025-12-07 13:21:37.649649,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,21
2025-12-07 13:21:37.878177,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,21
2025-12-07 13:21:38.114393,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,21
2025-12-07 13:21:38.365666,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,21
2025-12-07 13:22:38.682642,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,22
2025-12-07 13:22:38.989685,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,22
2025-12-07 13:22:39.398972,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,22
2025-12-07 13:22:39.704797,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,22
2025-12-07 13:22:40.012340,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,22
2025-12-07 13:23:40.327850,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,23
2025-12-07 13:23:40.635260,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,23
2025-12-07 13:23:40.942046,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,23
2025-12-07 13:23:41.248945,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,23
2025-12-07 13:23:41.556142,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,23
2025-12-07 13:24:41.963704,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,24
2025-12-07 13:24:42.499505,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,24
2025-12-07 13:24:42.909437,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,24
2025-12-07 13:24:43.523278,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,24
